Genes	healthy30.1	healthy30	healthy12	healthy18.1	healthy18	healthy24.1	healthy12.1	healthy24	zero-counter
AT1G77310	57	73	27	47	70	22	92	23	0
AT1G77320	119	120	66	49	111	31	131	59	0
AT1G77330	14	20	10	8	16	7	17	6	0
AT1G77340	1	1	1	2	0	0	0	0	4
AT1G77350	154	141	116	110	232	104	235	154	0
AT1G77360	38	40	13	12	13	3	18	6	0
AT1G77370	710	826	254	226	484	297	607	589	0
AT1G77380	359	306	8	4	10	2	11	13	0
AT1G77390	4	7	6	3	11	5	12	15	0
AT1G77400	68	90	38	35	111	9	79	27	0
AT1G77405	17	11	7	11	18	5	19	8	0
AT1G77410	52	56	29	36	57	18	42	35	0
AT1G77420	263	309	313	188	418	388	835	564	0
AT1G77440	381	322	254	207	459	270	558	364	0
AT1G77450	151	170	71	143	237	79	216	76	0
AT1G77460	196	169	489	326	727	188	844	264	0
AT1G77470	334	374	96	95	149	57	161	98	0
AT1G77480	2200	2114	294	314	595	187	631	305	0
AT1G77490	2417	2441	1526	2381	5355	1116	2692	1254	0
AT1G77500	234	176	221	172	442	223	448	366	0
AT1G77510	321	274	1305	195	1141	1242	1586	3252	0
AT1G77520	0	0	3	1	3	10	5	4	2
AT1G77530	0	0	0	0	0	1	0	0	7
AT1G77540	381	359	114	114	256	114	285	148	0
AT1G77550	337	284	146	130	289	129	261	237	0
AT1G77570	33	24	12	9	20	4	29	23	0
AT1G77580	98	45	209	487	898	240	353	155	0
AT1G77590	282	189	307	289	816	286	492	387	0
AT1G77600	310	291	390	473	759	296	778	448	0
AT1G77610	365	296	362	399	751	242	671	324	0
AT1G77620	195	150	138	143	292	101	312	160	0
AT1G77630	168	69	88	48	153	51	143	92	0
AT1G77640	13	4	1	6	7	11	8	5	0
AT1G77660	200	297	106	104	166	62	187	120	0
AT1G77670	250	204	294	294	598	186	651	289	0
AT1G77680	789	930	780	779	2140	419	1622	501	0
AT1G77690	89	83	60	62	130	21	69	63	0
AT1G77700	6	2	18	11	31	6	14	14	0
AT1G77710	2009	1998	665	784	1621	509	1536	949	0
AT1G77720	30	28	30	36	85	6	50	37	0
AT1G77740	775	498	1105	1356	3154	506	2049	814	0
AT1G77750	113	70	62	47	123	69	121	133	0
AT1G77760	386	132	412	1073	3985	598	383	2874	0
AT1G77765	2	0	2	1	1	3	5	14	1
AT1G77770	445	404	270	258	459	169	560	237	0
AT1G77780	0	0	0	0	0	1	0	0	7
AT1G77790	0	0	0	0	1	0	1	0	6
AT1G77800	1936	2069	1224	1953	3600	853	2750	1346	0
AT1G77810	349	248	373	101	299	109	876	155	0
AT1G77840	901	702	416	384	917	274	916	390	0
AT1G77850	303	236	198	174	357	155	431	222	0
AT1G77855	3	3	12	23	40	23	22	18	0
AT1G77860	0	0	3	5	5	2	5	5	2
AT1G77870	4	0	5	9	26	5	11	16	1
AT1G77880	2	2	1	2	6	1	5	4	0
AT1G77885	51	39	21	32	72	17	56	57	0
AT1G77890	296	486	144	151	265	104	278	163	0
AT1G77920	346	272	592	667	919	442	1581	889	0
AT1G77930	820	650	694	1484	2598	1176	1693	1802	0
AT1G77932	0	0	0	0	0	0	0	1	7
AT1G77940	829	485	504	576	1605	368	1085	557	0
AT1G77960	15	24	31	55	165	98	50	77	0
AT1G77990	285	453	499	620	1275	235	821	562	0
AT1G78000	342	281	55	81	216	38	117	134	0
AT1G78010	1221	1377	494	466	1103	173	1195	298	0
AT1G78020	10610	7592	5715	5542	10340	999	14067	1718	0
AT1G78030	4	2	28	23	61	14	64	8	0
AT1G78040	4688	2843	2446	2391	5340	1828	4325	2253	0
AT1G78050	15	13	8	16	58	13	11	25	0
AT1G78060	102	90	285	207	567	266	485	368	0
AT1G78070	214	302	778	2306	4518	1256	1594	1162	0
AT1G78080	2328	3182	1207	933	1698	1123	2984	1285	0
AT1G78090	12	7	1	1	1	0	0	1	2
AT1G78100	899	485	528	940	1410	199	1549	250	0
AT1G78110	126	153	60	131	222	47	76	111	0
AT1G78120	0	4	5	7	7	6	7	10	1
AT1G78130	691	765	247	214	356	280	718	360	0
AT1G78140	925	1129	443	710	1474	528	1044	766	0
AT1G78150	2954	3041	494	531	1045	288	1118	482	0
AT1G78160	0	0	0	0	0	0	1	0	7
AT1G78170	291	138	226	191	545	176	387	137	0
AT1G78172	8	2	2	3	3	2	6	2	0
AT1G78180	279	220	210	301	705	77	380	87	0
AT1G78190	57	66	37	29	49	48	125	124	0
AT1G78200	423	404	440	573	1190	349	1008	528	0
AT1G78210	77	63	206	157	446	336	419	384	0
AT1G78230	108	101	363	1161	2605	195	612	202	0
AT1G78240	2381	2275	810	782	1687	556	1774	675	0
AT1G78260	96	15	18	21	14	15	20	8	0
AT1G78270	4006	3683	472	431	683	417	1765	728	0
AT1G78280	944	1058	328	327	634	405	837	623	0
AT1G78290	245	747	1053	2373	4863	255	2014	478	0
AT1G78300	1164	1004	757	734	1474	583	1302	1086	0
AT1G78310	194	234	53	50	60	62	165	86	0
AT1G78320	16	4	2	23	56	2	9	9	0
AT1G78340	0	3	2	0	0	0	2	5	4
AT1G78360	0	0	0	1	0	0	0	0	7
AT1G78370	422	483	1248	1457	4232	1066	1435	3680	0
AT1G78380	2074	1910	2009	2116	4631	1912	3494	2941	0
AT1G78390	1	0	1	0	3	1	3	0	3
AT1G78410	22	34	110	25	58	31	131	35	0
AT1G78420	918	1105	321	330	552	261	758	459	0
AT1G78430	4	2	4	8	19	5	5	5	0
AT1G78440	0	0	2	8	2	9	1	6	2
AT1G78450	1957	1823	450	459	785	140	1616	165	0
